;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;NÚMERO DE VISITAS ;;;;;;;;;;;;;;;;;;
;Casinos de Juego;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Oct;Nov;Dic;Total;;;;;
;Casino de Juegos del Pacífico; 21.598 ; 17.264 ; 23.050 ; 24.185 ; 26.332 ; 26.426 ; 22.369 ; 25.722 ; 25.877 ; 27.153 ; 26.508 ;; 23.469 ; 48,2 ;;;;
;Casino Rinconada; 53.190 ; 52.102 ; 60.629 ; 59.087 ; 59.165 ; 51.516 ; 54.400 ; 57.748 ; 57.078 ; 65.648 ; 70.962 ;; 58.264 ; 119,7 ;;;;
;Monticello Grand Casino; 62.325 ; 56.313 ; 65.654 ; 67.944 ; 67.514 ; 66.419 ; 59.994 ; 72.278 ; 67.794 ; 88.510 ; 77.209 ;; 68.057 ; 139,8 ;;;;
;Casino de Colchagua; 35.571 ; 32.364 ; 37.182 ; 39.237 ; 35.273 ; 34.835 ; 28.375 ; 36.265 ; 33.883 ; 38.043 ; 33.431 ;; 34.766 ; 71,3 ;;;;
;Gran Casino de Talca; 27.148 ; 25.394 ; 33.596 ; 31.023 ; 30.286 ; 30.631 ; 30.155 ; 28.951 ; 30.589 ; 34.530 ; 34.083 ;; 30.446 ; 62,5 ;;;;
;Termas de Chillán; 36.523 ; 28.355 ; 28.946 ; 42.251 ; 27.289 ; 35.977 ; 16.208 ; 23.907 ; 19.065 ; 25.477 ; 14.401 ;; 24.463 ; 50,2 ;;;;
;Marina del Sol; 33.144 ; 32.139 ; 35.499 ; 36.439 ; 35.172 ; 34.028 ; 29.743 ; 33.693 ; 31.831 ; 34.357 ; 31.739 ;; 33.342 ; 68,5 ;;;;
;Casino Gran Los Angeles; 19.591 ; 17.324 ; 22.850 ; 24.318 ; 24.838 ; 21.525 ; 21.334 ; 22.945 ; 18.331 ; 23.512 ; 22.395 ;; 21.619 ; 44,4 ;;;;
;Dreams Temuco; 29.631 ; 30.143 ; 32.046 ; 32.840 ; 31.573 ; 32.739 ; 29.330 ; 29.663 ; 28.573 ; 27.744 ; 30.751 ;; 30.385 ; 62,4 ;;;;
;Dreams Valdivia; 24.904 ; 21.936 ; 28.294 ; 27.967 ; 26.914 ; 28.225 ; 29.218 ; 27.924 ; 27.619 ; 31.793 ; 29.576 ;; 27.448 ; 56,4 ;;;;
;Casino Sol Osorno; 25.565 ; 21.900 ; 27.462 ; 28.384 ; 31.474 ; 32.428 ; 30.353 ; 27.916 ; 32.295 ; 34.544 ; 34.184 ;; 29.292 ; 60,2 ;;;;
;Enjoy Chiloé; - ; - ; - ; - ; 11.254 ; 17.640 ; 16.185 ; 14.230 ; 15.000 ; 18.268 ; 16.846 ;; 15.502 ; 31,9 ;;;;
;Dreams Coyhaique; - ; - ; - ; 12.225 ; 16.077 ; 23.279 ; 22.541 ; 21.888 ; 23.257 ; 25.601 ; 24.968 ;; 21.569 ; 44,4 ;;;;
;Dreams Punta Arenas; 31.100 ; 32.805 ; 35.494 ; 36.923 ; 37.026 ; 35.626 ; 32.909 ; 34.930 ; 34.265 ; 34.391 ; 35.091 ;; 34.501 ; 70,9 ;;;;
; Gasto promedio ; 39.111 ; 35.934 ; 42.795 ; 42.832 ; 41.526 ; 41.216 ; 38.697 ; 42.082 ; 40.289 ; 45.964 ; 44.268 ;; 41.275 ; 84,8 ;;;;
; Gasto promedio US$ ; 78,0 ; 74,6 ; 88,2 ; 88,1 ; 83,5 ; 81,5 ; 78,7 ; 87,5 ; 84,8 ; 96,7 ; 92,1 ;; 84,8 ;;;;;
; Dólar promedio observado ; 501,34 ; 481,49 ; 485,40 ; 486,00 ; 497,09 ; 505,63 ; 491,93 ; 480,99 ; 474,97 ; 475,36 ; 480,57 ; -   ;;;;;;
